Instance,matrix_Time,matrix_Solutions,matrix_Decisions
grafo10958.98,ERR,ERR,ERR
grafo10962.100,TO,TO,TO
grafo10970.100,9.687,2452216546463682773005463232,-
grafo10972.95,42.042,730244896653297849257953429260,-
grafo10976.92,50.975,10759050697100237213220300916440,-
grafo10998.100,ERR,ERR,ERR
grafo11000.99,5.919,1217725012095539482686059005177080,-
grafo11001.97,TO,TO,TO
grafo11003.100,8.026,3976499213449309516733400000,-
grafo11008.99,15.209,3675203970100782918317392,-
grafo11011.100,4.649,140688757390106390892469346304000,-
grafo11014.100,2.318,102699410881895065529306726096461824,-
grafo11015.98,41.335,5799643168166328288201029091456,-
grafo11016.98,13.194,7526571230364813338624640,-
grafo11020.100,2.567,20444842677214024445820085111800000,-
grafo11035.99,1.335,26848343803661264515276800,-
grafo11037.99,108.556,917919013779536488534653696,-
grafo11039.96,3.175,3389918511944201602117280,-
grafo11044.95,0.587,1197912132516610056000,-
grafo11047.92,TO,TO,TO
grafo11050.98,5.076,21793683158398046358023808,-
grafo11056.98,20.815,139448046035464528744346345472,-
grafo11060.99,4.664,2221581091015208181652619592894,-
grafo11067.98,366.112,4884715904609705915728260,-
grafo11069.93,4.629,67197688711299492990806963592,-
grafo11070.94,5.470,296693280114774832563512784000,-
grafo11072.98,TO,TO,TO
grafo11073.100,TO,TO,TO
grafo11076.97,1.488,3926107989980203149244661760,-
grafo11088.97,5.494,1042994082302208333696820608,-
grafo11096.97,1.317,21190592381506159344503198702400000,-
grafo11099.99,TO,TO,TO
grafo11100.95,TO,TO,TO
grafo11101.95,44.507,925307123039192848461312,-
grafo11102.98,1.726,78159853560697776,-
grafo11105.95,13.773,2780329361017679787740480496,-
grafo11106.99,3.924,1800410829963731636845259520,-
grafo11110.99,3.462,3283273471348689681777012,-
grafo11112.96,5.877,32730420111605723465368,-
grafo11113.98,1.087,85282876610070364386506217600,-
grafo11114.93,3.286,19671423926865926171894250009840,-
grafo11115.92,1.540,457952153329344881847182400,-
grafo11119.98,23.687,150127383667946760788494187520,-
grafo11125.100,TO,TO,TO
grafo11140.98,0.809,12949719097651467435583488000,-
grafo11142.99,6.919,1972035514499084401578914190442500,-
grafo11143.98,1.305,21006525537883519741138348800,-
grafo11144.92,3.196,69290945340192171185472000,-
grafo11145.99,11.184,3903575490174366298584834349500,-
grafo11148.99,41.552,26041694824934201896252713228780,-
grafo11149.100,ERR,ERR,ERR
grafo11157.100,100.366,2255220706960252460009775340800,-
grafo11162.100,ERR,ERR,ERR
grafo11176.100,TO,TO,TO
grafo11178.95,TO,TO,TO
grafo11181.95,2.547,204303551180648012431583604480,-
grafo11198.98,159.491,492387302804990856535993500,-
grafo11201.99,3.592,1147720450559495792252226408000,-
grafo11204.99,TO,TO,TO
grafo11218.99,37.442,981634254919532297202912,-
grafo11223.99,1.216,2360818719012081418650711306540,-
grafo11227.100,7.972,2716288583159839941443148,-
grafo11250.99,9.701,8943747317419205357818461381583296,-
grafo11251.93,3.264,4809787111811592399184022526528,-
grafo11254.99,24.516,30139977622287267367176194,-
grafo11271.99,35.687,109664252023274371019546173840,-
grafo11280.99,4.713,83393808943885689836202,-
grafo11313.96,2.027,7003276840515664560,-
grafo11324.100,11.182,560387610526314185205659607711744,-
grafo11335.100,1.334,61471332725994635285503002432000,-
grafo11369.96,TO,TO,TO
grafo11458.100,10.044,32929161513245347400780796768,-
grafo11469.96,11.007,165728243199277045297920000,-
grafo11546.97,2.688,75444469155251576685056404800,-
grafo11569.93,15.649,4844612865840488301571200,-
grafo3224.98,TO,TO,TO
grafo3435.99,101.249,652148706592030102138027610622720,-
grafo3532.99,1.383,28327450894599629841700806720,-
grafo3680.99,11.795,2149519026657629741871667680000,-
grafo3712.95,0.866,5258623445171291339393040,-
grafo3861.99,3.685,16121448104607716575683640617648,-
grafo3890.96,7.243,8944113065325995850718418621147520,-
grafo3898.99,80.002,45437908753940371061101014897360,-
grafo3979.98,4.048,423904573438761629195520,-
grafo3995.97,8.924,5931077209549283555589214132590240,-
grafo4091.99,99.645,32508414237190114299136803240960,-
grafo6562.98,1.141,236273893424318395676761226496,-
grafo6625.99,1.433,1337161524838599745621440,-
grafo6975.39,6.827,320039444695988826981559487100000,-
grafo7221.99,2.133,1525888907338681754882536320000,-
grafo7263.99,132.723,4898247703830220765158946176,-
grafo7417.39,1.687,413427890976458123248101187541280000,-
grafo7785.100,4.453,557646274243607696621728263360,-
grafo7797.100,335.548,18087494243875214914061634240,-
grafo7907.80,3.984,56046368067982192880179200,-
grafo7936.89,TO,TO,TO
grafo8008.95,11.508,2836630049700547381881600,-
grafo8127.78,0.495,66208157321355098849280,-
grafo8198.99,1.378,649388601659380264242499152000,-
grafo8223.99,1.488,334422330310025516401710173429760,-
grafo8373.100,2.220,742658646888847672838471232000,-
grafo8478.98,10.192,12250781027964153710065548,-
grafo8490.95,565.080,6954795444905727972824869260,-
grafo8510.100,8.505,2522290965851353756626557847360,-
grafo8513.100,219.791,17469995066621824100630695740,-
grafo8549.100,TO,TO,TO
grafo8566.98,28.067,33675447534980819354777573856,-
grafo8571.94,5.736,60036648006230924769664308000,-
grafo8673.98,50.697,3665987126814610816771132800,-
grafo8674.100,11.383,4411819550965378162337392234383360,-
grafo8719.93,1292.400,2173553529918219502903872,-
grafo8739.99,50.185,3376726709558271550550300000,-
grafo8777.98,0.738,527114627133616421733651616800,-
grafo8780.96,20.747,106865700460093439124794247168,-
grafo8791.94,21.871,41589594170975930336399016,-
grafo8793.100,2.752,6290998565958574189476048,-
grafo8805.80,TO,TO,TO
grafo8812.99,TO,TO,TO
grafo8823.93,18.035,2471867976793564523950612320,-
grafo8826.100,2.794,1834705985117148849612007324569600,-
grafo8857.99,6.254,313543526986779746908720331250,-
grafo8864.98,5.926,1950049320147521882078400,-
grafo8865.100,TO,TO,TO
grafo8867.97,19.941,685433148081827754240945612000,-
grafo8882.100,7.947,60433143070321573071599902510800,-
grafo8892.100,1.060,156239009903443337640000,-
grafo8893.96,0.740,8420211467291839036389765120,-
grafo8921.98,490.051,1389282357877552470915299541,-
grafo8943.98,142.241,1557799297139741798037095121600,-
grafo8963.92,128.179,22926250524268338334887333870000,-
grafo8997.96,TO,TO,TO
grafo9008.91,2.357,72401743992697856645701464672,-
grafo9357.99,334.091,142289637244534381196640,-
grafo9362.98,11.321,211356181498372577399700,-
grafo9542.87,TO,TO,TO
grafo9691.79,0.617,150604398614405598500000,-
grafo9738.100,27.892,174103352259187595283132912000,-
grafo9788.80,1.241,5964147984416058082800,-
grafo9973.96,20.210,2561493285098512987929575760,-
grafo9984.96,3.885,3696278631131858917807872,-
grafo9995.94,7.056,6526238612574319118772318,-
heart,TO,TO,TO
kts15-ptpt-0001,ERR,0,-
kts15-ptpt-0002,ERR,0,-
kts15-ptpt-0003,0.225,8,-
kts15-ptpt-0004,0.149,1,-
kts15-ptpt-0005,ERR,0,-
kts15-ptpt-0006,1.162,8,-
kts15-ptpt-0007,0.444,12,-
kts15-ptpt-0008,ERR,0,-
kts15-ptpt-0009,0.314,6,-
kts15-ptpt-0010,ERR,0,-
kts15-ptpt-0011,0.324,4,-
kts15-ptpt-0012,0.396,4,-
kts15-ptpt-0013,3.434,24,-
kts15-ptpt-0014,0.916,8,-
kts15-ptpt-0015,0.817,14,-
kts15-ptpt-0016,0.413,6,-
kts15-ptpt-0017,1.918,24,-
kts15-ptpt-0018,1.225,8,-
kts15-ptpt-0019,ERR,0,-
kts15-ptpt-0020,1.047,8,-
kts15-ptpt-0021,5.792,72,-
kts21-ptpt-0001,TO,TO,TO
