Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
Cudi,1.293,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,17.441,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,17.614,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,17.457,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-
Deltacom,14.604,1280280065758737170659221716367433092000,-,19.132,1280280065758737170659221716367433092000,-,878.514,1280280065758737170659221716367433092000,-,19.250,1280280065758737170659221716367433092000,-
DeutscheTelekom,127.007,830092987687112518055852931366741759752919843750000000000,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
Dfn,498.396,52708983971456817471099323712565054699137671799041662076197844057507161465336462002221118240,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
DialtelecomCz,23.914,150613714105720391095453664020662786243696345146138543367067615803011599351747477939078717990517939704097645666746368,-,25.462,150613714105720391095453664020662786243696345146138543367067615803011599351747477939078717990517939704097645666746368,-,TO,TO,TO,25.273,150613714105720391095453664020662786243696345146138543367067615803011599351747477939078717990517939704097645666746368,-
Esnet,10.645,102339557612778829053460458922240934506659840,-,1459.704,102339557612778829053460458922240934506659840,-,103.808,102339557612778829053460458922240934506659840,-,709.098,102339557612778829053460458922240934506659840,-
Forthnet,0.957,546450507006957294468261464125560707481600,-,1.981,546450507006957294468261464125560707481600,-,11.384,546450507006957294468261464125560707481600,-,1.977,546450507006957294468261464125560707481600,-
Garr200902,3.692,144954582223854446917895755730894050587033600,-,854.190,144954582223854446917895755730894050587033600,-,54.334,144954582223854446917895755730894050587033600,-,858.418,144954582223854446917895755730894050587033600,-
Garr200908,1.189,149557807934502940246059184369284846005760,-,3.178,149557807934502940246059184369284846005760,-,8.772,149557807934502940246059184369284846005760,-,2.749,149557807934502940246059184369284846005760,-
Garr200909,5.536,1015814853378741778651688378867374211652608030036700,-,14.883,1015814853378741778651688378867374211652608030036700,-,61.463,1015814853378741778651688378867374211652608030036700,-,14.963,1015814853378741778651688378867374211652608030036700,-
Garr200912,16.630,302484739320686513198704378660573950216000000,-,672.773,302484739320686513198704378660573950216000000,-,291.375,302484739320686513198704378660573950216000000,-,629.172,302484739320686513198704378660573950216000000,-
Garr201001,4.010,492173555273235782445110509807618914159532391081780400,-,4.229,492173555273235782445110509807618914159532391081780400,-,37.938,492173555273235782445110509807618914159532391081780400,-,4.225,492173555273235782445110509807618914159532391081780400,-
Garr201003,14.528,4638858188061670631035222623544784343959242100869939200,-,89.833,4638858188061670631035222623544784343959242100869939200,-,239.974,4638858188061670631035222623544784343959242100869939200,-,89.549,4638858188061670631035222623544784343959242100869939200,-
Garr201004,36.372,1379038779832011838688761591791769248162786698487398400,-,98.755,1379038779832011838688761591791769248162786698487398400,-,288.718,1379038779832011838688761591791769248162786698487398400,-,99.017,1379038779832011838688761591791769248162786698487398400,-
Garr201005,1.440,2293097254697450131457776011042855581295873607716000000,-,2.859,2293097254697450131457776011042855581295873607716000000,-,10.585,2293097254697450131457776011042855581295873607716000000,-,2.862,2293097254697450131457776011042855581295873607716000000,-
Garr201007,29.813,39747929163012952611440662382722282096715815018884000,-,199.446,39747929163012952611440662382722282096715815018884000,-,366.095,39747929163012952611440662382722282096715815018884000,-,195.912,39747929163012952611440662382722282096715815018884000,-
Garr201008,5.550,441017805172365879603264736562302156800,-,6.764,441017805172365879603264736562302156800,-,65.393,441017805172365879603264736562302156800,-,6.435,441017805172365879603264736562302156800,-
Garr201010,10.952,215075245475688008898001197069296849560769377861632,-,1168.391,215075245475688008898001197069296849560769377861632,-,200.049,215075245475688008898001197069296849560769377861632,-,1184.569,215075245475688008898001197069296849560769377861632,-
Garr201012,19.826,2988224155251923877291845483530704354380312412422257413980160,-,166.918,2988224155251923877291845483530704354380312412422257413980160,-,252.707,2988224155251923877291845483530704354380312412422257413980160,-,169.318,2988224155251923877291845483530704354380312412422257413980160,-
Garr201101,33.442,573317548987789097336271960547973429726112,-,TO,TO,TO,509.751,573317548987789097336271960547973429726112,-,TO,TO,TO
Garr201102,14.456,1033590414327575680675386997247699230337689791329716392796160000,-,58.783,1033590414327575680675386997247699230337689791329716392796160000,-,128.540,1033590414327575680675386997247699230337689791329716392796160000,-,58.955,1033590414327575680675386997247699230337689791329716392796160000,-
Garr201103,11.804,2147459890664978716183667828077727376557650326161719296000,-,24.003,2147459890664978716183667828077727376557650326161719296000,-,157.492,2147459890664978716183667828077727376557650326161719296000,-,24.141,2147459890664978716183667828077727376557650326161719296000,-
Garr201104,14.897,909510916109358425971111718400000,-,13.486,909510916109358425971111718400000,-,277.146,909510916109358425971111718400000,-,13.630,909510916109358425971111718400000,-
