Instance,matrix_Time,matrix_Solutions,matrix_Decisions
latin7-blk-00008,1.953,27072,-
latin7-blk-00009,1.618,27776,-
latin8-blk-00001,TO,TO,TO
latin8-blk-00002,TO,TO,TO
latin8-blk-00003,TO,TO,TO
latin8-blk-00004,TO,TO,TO
latin8-blk-00005,TO,TO,TO
latin8-blk-00006,TO,TO,TO
latin8-blk-00007,TO,TO,TO
latin8-blk-00008,TO,TO,TO
latin8-blk-00009,TO,TO,TO
latin8-blk-00010,TO,TO,TO
latin8-blk-00011,TO,TO,TO
latin8-blk-00012,TO,TO,TO
latin8-blk-00013,TO,TO,TO
latin8-blk-00014,TO,TO,TO
latin8-blk-00015,TO,TO,TO
meteor,TO,TO,TO
sppaa01,TO,TO,TO
sppaa02,TO,TO,TO
sppaa03,TO,TO,TO
sppaa04,TO,TO,TO
sppaa05,TO,TO,TO
sppaa06,TO,TO,TO
sppkl01,TO,TO,TO
sppkl02,TO,TO,TO
sppnw01,TO,TO,TO
sppnw02,TO,TO,TO
sppnw03,TO,TO,TO
sppnw04,TO,TO,TO
sppnw05,TO,TO,TO
sppnw06,TO,TO,TO
sppnw07,TO,TO,TO
sppnw08,5.147,285701,-
