Instance,matrix_Time,matrix_Solutions,matrix_Decisions
grafo10943.95,1.340,2232135796878792160387153920000,-
grafo10945.98,1.570,95891009417905168894140000,-
grafo10950.97,TO,TO,TO
grafo10952.96,49.710,391142330406672230736365760,-
grafo10958.98,TO,TO,TO
grafo10962.100,TO,TO,TO
grafo10970.100,4.320,2452216546463682773005463232,-
grafo10972.95,27.430,730244896653297849257953429260,-
grafo10976.92,9.760,10759050697100237213220300916440,-
grafo10998.100,TO,TO,TO
grafo11000.99,2.790,1217725012095539482686059005177080,-
grafo11001.97,TO,TO,TO
grafo11003.100,3.940,3976499213449309516733400000,-
grafo11008.99,19.610,3675203970100782918317392,-
grafo11011.100,1.230,140688757390106390892469346304000,-
grafo11014.100,0.600,102699410881895065529306726096461824,-
grafo11015.98,23.690,5799643168166328288201029091456,-
grafo11016.98,10.400,7526571230364813338624640,-
grafo11020.100,0.970,20444842677214024445820085111800000,-
grafo11035.99,0.580,26848343803661264515276800,-
grafo11037.99,TO,TO,TO
grafo11039.96,1.150,3389918511944201602117280,-
grafo11044.95,0.190,1197912132516610056000,-
grafo11047.92,TO,TO,TO
grafo11050.98,2.110,21793683158398046358023808,-
grafo11056.98,16.270,139448046035464528744346345472,-
grafo11060.99,2.670,2221581091015208181652619592894,-
grafo11067.98,TO,TO,TO
grafo11069.93,3.410,67197688711299492990806963592,-
grafo11070.94,1.420,296693280114774832563512784000,-
grafo11072.98,TO,TO,TO
grafo11073.100,TO,TO,TO
grafo11076.97,0.270,3926107989980203149244661760,-
grafo11088.97,6.860,1042994082302208333696820608,-
grafo11096.97,0.430,21190592381506159344503198702400000,-
grafo11099.99,TO,TO,TO
grafo11100.95,TO,TO,TO
grafo11101.95,31.070,925307123039192848461312,-
grafo11102.98,1.270,78159853560697776,-
grafo11105.95,8.410,2780329361017679787740480496,-
grafo11106.99,1.300,1800410829963731636845259520,-
grafo11110.99,1.460,3283273471348689681777012,-
grafo11112.96,5.410,32730420111605723465368,-
grafo11113.98,0.280,85282876610070364386506217600,-
grafo11114.93,1.220,19671423926865926171894250009840,-
grafo11115.92,0.290,457952153329344881847182400,-
grafo11119.98,37.750,150127383667946760788494187520,-
grafo11125.100,TO,TO,TO
grafo11140.98,0.150,12949719097651467435583488000,-
grafo11142.99,2.640,1972035514499084401578914190442500,-
grafo11143.98,0.130,21006525537883519741138348800,-
grafo11144.92,0.840,69290945340192171185472000,-
grafo11145.99,7.350,3903575490174366298584834349500,-
grafo11148.99,9.910,26041694824934201896252713228780,-
grafo11149.100,TO,TO,TO
grafo11157.100,18.590,2255220706960252460009775340800,-
grafo11162.100,TO,TO,TO
grafo11176.100,TO,TO,TO
grafo11178.95,TO,TO,TO
grafo11181.95,0.330,204303551180648012431583604480,-
grafo11198.98,TO,TO,TO
grafo11201.99,0.580,1147720450559495792252226408000,-
grafo11204.99,TO,TO,TO
grafo11218.99,3.240,981634254919532297202912,-
grafo11223.99,0.390,2360818719012081418650711306540,-
grafo11227.100,4.310,2716288583159839941443148,-
grafo11250.99,3.410,8943747317419205357818461381583296,-
grafo11251.93,0.560,4809787111811592399184022526528,-
grafo11254.99,24.710,30139977622287267367176194,-
grafo11271.99,18.240,109664252023274371019546173840,-
grafo11280.99,5.610,83393808943885689836202,-
grafo11313.96,2.320,7003276840515664560,-
